Feature_Index,Feature_Name,Away_from_shins,Hips_rise_first,Collide_with_knees,Lower_back_rounding,Mean_Importance
11,Shoulder_Hip_X_Disp (Norm),0.00879272541097642,-0.0029408782070784456,0.01781674208144801,0.03458213256484155,0.014562680462546884
23,Bar_Knee_X_Disp (Delta),0.009899994974621906,0.004318649923593099,0.019338565022421483,0.0004607600026808045,0.008504492480829323
53,Shoulder_Hip_X_Disp (ZScore),0.01779444599301172,0.00578034682080919,-0.002923162583518879,0.010113253598182714,0.0076912209571211865
0,Left_Knee_Angle (Norm),-0.003153362906322288,0.016751209154181823,0.008766968325791824,-0.0026444197013361093,0.0049300987180788125
65,Bar_Knee_X_Disp (DeltaSquare),0.01874945448197607,0.01521320264723125,-0.012051569506726478,-0.0026444197013361093,0.004816666980286183
51,Bar_Knee_X_Disp (ZScore),0.00879272541097642,0.005882956527687444,0.0014013452914798386,0.0015879550667529108,0.0044162455742241535
17,Right_Hip_Angle (Delta),0.0011857243163643227,0.010065776360374645,0.0,0.006018091810307102,0.004317398121761518
44,Right_Knee_Angle (ZScore),-0.007669640776832076,0.024172359432474977,0.001136363636363602,-0.0008980251610322121,0.004185264282743573
33,Left_Arm_Torso_Angle (DeltaRatio),-0.0011294579152961726,0.0028736581337737155,0.010439866369710504,0.004006263430560875,0.0040475825046872305
42,Left_Knee_Angle (ZScore),-0.0020335481064621685,0.012442154153882612,0.0028153153153153143,0.0015295626110581884,0.0036883709934484865
2,Right_Knee_Angle (Norm),-0.008808056846012713,0.02156002923393785,0.004128701594533046,-0.004192898047024829,0.0031719439838583385
34,Right_Arm_Torso_Angle (DeltaRatio),-0.0010580705288981695,0.004318649923593099,0.008848314606741625,-0.00022740522370467975,0.0029703721944329686
63,Bar_X (DeltaSquare),0.0,-0.008788831423452659,0.02394859813084116,-0.003771764578681003,0.0028470005321768743
36,Bar_Y (DeltaRatio),-0.0021855402897213994,0.0021655478003030915,0.004464285714285698,0.003517666779518258,0.001990490001096412
16,Right_Knee_Angle (Delta),-0.0010580705288981695,0.006459413352766785,0.0015311804008908414,0.0008832127381668275,0.001953933990731571
15,Left_Hip_Angle (Delta),0.002247714595068784,0.0,0.0,0.005137200852023516,0.0018462288617730749
10,Bar_Knee_Y_Disp (Norm),-0.0011294579152961726,0.004318649923593099,-0.001388888888888884,0.004886244079327695,0.0016716367996839343
7,Bar_X (Norm),-0.00673300165837476,0.009416101197955884,0.004128701594533046,-0.0006599005972518501,0.00153797513421558
41,Hip_Knee_Vel_Diff (DeltaRatio),0.002302086060923414,0.0,0.0043539325842696375,-0.0008857616926780665,0.0014425642381287462
46,Body_Length (ZScore),-0.004451717051508819,0.005006340266455855,0.0015311804008908414,0.0028818443804035088,0.0012419119990603467
6,Right_Arm_Torso_Angle (Norm),-0.0066334991708125735,0.003618999748680518,0.011884787472035807,-0.0042429487233345275,0.001156834831642306
29,Left_Hip_Angle (DeltaRatio),6.567820961200788e-05,0.0028736581337737155,-0.0015380313199104823,0.002000241193324759,0.0008503865542
39,Shoulder_Hip_X_Disp (DeltaRatio),-0.0033167495854062867,-0.001428476513188559,0.0,0.007511013945476819,0.0006914469617204932
4,Body_Length (Norm),-0.005590461447614881,0.004318649923593099,-0.0016891891891891442,0.005390349386926396,0.0006073371684288675
25,Shoulder_Hip_X_Disp (Delta),-0.0010580705288981695,0.0021655478003030915,0.003055555555555589,-0.0017740833902484265,0.0005972373591780211
