Feature_Index,Feature_Name,Correct,Away_from_shins,Hips_rise_first,Collide_with_knees,Lower_back_rounding,Mean_Importance
53,Shoulder_Hip_X_Disp (ZScore),0.051101112952877115,0.007692862332706607,-0.006572406006168041,0.02083333333333337,0.04406541116547147,0.023424062755644105
67,Shoulder_Hip_X_Disp (DeltaSquare),0.08238482384823853,0.001125717988424313,-0.008788831423452659,0.010369955156950716,0.004146243339326894,0.01784758178189756
26,Torso_Angle (Delta),0.07228381374722842,-0.0021091685996158516,0.0028736581337737155,0.001136363636363602,0.011891105453121109,0.0172151544741742
65,Bar_Knee_X_Disp (DeltaSquare),0.04967190788659159,0.015481837765766948,0.02985417761429321,-0.010486577181208045,-0.0035213432756281415,0.016200000561963114
9,Bar_Knee_X_Disp (Norm),0.04139237508879945,0.02013985057530221,0.01521320264723125,0.003055555555555589,-0.003126211301548776,0.015334954513067944
11,Shoulder_Hip_X_Disp (Norm),0.04878048780487809,0.024528259602886515,0.0014450867052022698,-0.010698198198198172,0.012394004105073297,0.0152899280039684
44,Right_Knee_Angle (ZScore),0.029316830481737666,0.0001307093432673101,0.027915674940496404,0.01170091324200917,0.001066895579128091,0.014026204717327729
27,Hip_Knee_Vel_Diff (Delta),0.04198078344419809,0.004523828942718078,0.003618999748680518,0.006084070796460228,-0.0019944851035598177,0.010842639565699419
33,Left_Arm_Torso_Angle (DeltaRatio),0.02682926829268295,-0.0011294579152961726,0.003618999748680518,0.016388888888888897,0.000652337266624281,0.009272007256316096
34,Right_Arm_Torso_Angle (DeltaRatio),0.021878773243177996,0.004436976266570025,0.007929236561109998,0.0058856502242152775,0.0017638875086952721,0.008378904760753713
0,Left_Knee_Angle (Norm),0.014513997356722319,-0.005496798567867001,0.028901734104046173,0.011763038548752824,-0.008135763236545523,0.008309241641021758
8,Bar_Y (Norm),0.034218430854259296,-0.004451717051508819,-0.0029408782070784456,0.007499999999999951,0.005511475694516266,0.00796746225803765
23,Bar_Knee_X_Disp (Delta),0.03663318986131042,0.006600331674958548,-0.011018256403302118,0.008928571428571397,-0.0022255411346473464,0.00778365908537818
56,Left_Knee_Angle (DeltaSquare),0.044417207991175434,0.003366008242615348,-0.004368866783169834,-0.006012304250559319,0.000229379798729612,0.007526284999758248
28,Left_Knee_Angle (DeltaRatio),0.04198078344419809,-0.0011294579152961726,0.00072875432697872,0.0,-0.004400765207681623,0.007435862929639802
42,Left_Knee_Angle (ZScore),0.022067363530778206,0.001125717988424313,0.01398195986154449,0.004013761467889898,-0.004192898047024829,0.007399180960322415
62,Right_Arm_Torso_Angle (DeltaSquare),0.029316830481737666,0.0011857243163643227,-0.005780346820809301,0.002936241610738244,0.009248325805306212,0.0073813550786674285
51,Bar_Knee_X_Disp (ZScore),0.011977783144168086,0.011003274515931971,0.008755028225670092,0.002936241610738244,0.0004607600026808045,0.007026617499837839
10,Bar_Knee_Y_Disp (Norm),0.03436695673489398,-0.0011294579152961726,-0.0051531537640059355,0.0015311804008908414,0.004886244079327695,0.006900353907162082
48,Right_Arm_Torso_Angle (ZScore),0.029316830481737666,-0.0033167495854062867,0.007929236561109998,0.00741051454138697,-0.010444603621462267,0.006179045675473216
14,Left_Knee_Angle (Delta),0.031779763342187906,0.0,-0.003598140960503815,-0.0016891891891891442,0.004390792940099697,0.006176645226518928
54,Torso_Angle (ZScore),0.02436621410549078,-0.005131270056643156,0.003618999748680518,0.011763038548752824,-0.004400765207681623,0.006043243427719868
35,Bar_X (DeltaRatio),0.021878773243177996,0.005437020712989904,-0.007975203149870214,0.022331460674157255,-0.01188143268834907,0.005958123758421174
69,Hip_Knee_Vel_Diff (DeltaSquare),0.034218430854259296,-0.004020954116505493,0.004318649923593099,0.00013858093126384308,-0.0070541283760662266,0.0055201158433089035
15,Left_Hip_Angle (Delta),0.009756097560975618,0.001125717988424313,0.00578034682080919,0.0043539325842696375,0.005390349386926396,0.005281288868281031
21,Bar_X (Delta),0.02682926829268295,-0.0002010151263882598,-0.010182820271541937,0.01170091324200917,-0.0033100041169205063,0.004967268403968284
7,Bar_X (Norm),0.012543554006968716,0.0033167495854062867,0.009416101197955884,-0.0002828054298642524,-0.0017740833902484265,0.004643903194043642
50,Bar_Y (ZScore),0.029316830481737666,-0.0011294579152961726,-0.01377230459914558,-0.004464285714285698,0.011806803821884482,0.004351517214978939
12,Torso_Angle (Norm),0.03168363722472178,0.009982926092035771,0.00578034682080919,0.004242081447963786,-0.03188143268834909,0.003961511779436289
63,Bar_X (DeltaSquare),0.0062813230872035275,-0.002419276168178719,0.000711948875290247,0.02240566037735847,-0.007249768056684536,0.003945977622997798
32,Body_Length (DeltaRatio),0.017025346724055535,-0.0066334991708125735,0.003618999748680518,0.002936241610738244,0.002000241193324759,0.0037894660211972965
59,Right_Hip_Angle (DeltaSquare),0.021974899360644118,-0.0034834204188437523,0.0021655478003030915,-0.0001404494382022392,-0.0019944851035598177,0.00370441844006828
13,Hip_Knee_Vel_Diff (Norm),0.02436621410549078,-0.004276861307497604,0.0021825498320459102,-0.0016891891891891442,-0.004192898047024829,0.0032779630787650228
49,Bar_X (ZScore),0.0050901378579003564,0.0020247274028956097,0.006459413352766785,0.01015446224256289,-0.008835726601036153,0.0029786028510178975
58,Right_Knee_Angle (DeltaSquare),0.01936658172551875,-0.0033167495854062867,-0.0006916654315498594,0.005985523385300673,-0.006457002046527216,0.002977337609467212
46,Body_Length (ZScore),0.012266161496566452,-0.0021855402897213994,0.00578034682080919,-0.0001404494382022392,-0.0008857616926780665,0.0029669513793547874
41,Hip_Knee_Vel_Diff (DeltaRatio),0.011977783144168086,0.0011857243163643227,-0.005780346820809301,0.002936241610738244,0.004006263430560875,0.002865133136204445
47,Left_Arm_Torso_Angle (ZScore),0.012266161496566452,-0.007773976187721354,0.003618999748680518,0.014854260089686044,-0.008835726601036153,0.0028259437092351012
66,Bar_Knee_Y_Disp (DeltaSquare),0.017025346724055535,-0.0010580705288981695,0.0,0.002936241610738244,-0.005078321759163673,0.002765039209346387
43,Left_Hip_Angle (ZScore),0.016829268292682942,-0.0011294579152961726,-0.0021781017005948478,0.00013858093126384308,-0.00022740522370467975,0.002686576876870217
25,Shoulder_Hip_X_Disp (Delta),0.00941633296929989,0.0001307093432673101,0.0,0.0015311804008908414,0.001116090020156224,0.002438862546722853
39,Shoulder_Hip_X_Disp (DeltaRatio),0.007221425155428007,0.003366008242615348,-0.001428476513188559,0.0,0.0022386501273858883,0.002279521402448137
37,Bar_Knee_X_Disp (DeltaRatio),0.011977783144168086,0.003266998341625249,-0.003598140960503815,0.0015311804008908414,-0.0026649762070590777,0.0021025689438242566
5,Left_Arm_Torso_Angle (Norm),0.017025346724055535,0.002247714595068784,-0.007975203149870214,0.007134703196347014,-0.00902428983120629,0.001881654306878966
64,Bar_Y (DeltaSquare),0.02436621410549078,-0.004451717051508819,-0.01240330979625548,0.0,0.001116090020156224,0.0017254554555765412
4,Body_Length (Norm),0.007221425155428007,-0.0021091685996158516,-0.005780346820809301,0.0,0.008035751576661254,0.0014735322623328218
30,Right_Knee_Angle (DeltaRatio),0.014513997356722319,-0.0011294579152961726,0.0021655478003030915,0.0043539325842696375,-0.013505276470466288,0.0012797486711065176
